timestamp,temp,hum,gas_ppm,pm1,pm25,pm10
2026-05-01 12:15:00,31.0,76.1,5.52,6.18,6.53,6.53
2026-05-01 12:20:00,31.1,75.9,9.38,6.55,6.93,6.93
2026-05-01 12:25:00,31.0,76.1,5.66,6.24,6.6,6.6
2026-05-01 12:30:00,31.1,75.9,5.1,7.28,7.7,7.7
2026-05-01 12:35:00,31.1,75.7,4.44,6.03,6.38,6.38
2026-05-01 12:40:00,31.1,75.1,4.65,6.84,7.23,7.23
2026-05-01 12:45:00,31.2,75.4,4.48,7.31,7.73,7.73
2026-05-01 12:50:00,31.2,75.1,4.11,7.32,7.74,7.74
2026-05-01 12:55:00,31.1,75.3,4.15,5.7,6.03,6.03
2026-05-01 13:00:00,31.2,74.9,4.61,6.78,7.17,7.17
2026-05-01 13:05:00,31.2,75.2,4.19,8.93,9.44,9.44
2026-05-01 13:10:00,31.1,75.0,3.32,14.83,15.68,15.68
2026-05-01 13:15:00,31.3,73.8,4.4,12.1,12.8,12.8
2026-05-01 13:20:00,31.3,74.0,4.61,10.86,11.54,11.6
2026-05-01 13:25:00,31.25,74.0,5.24,10.34,10.95,10.98
2026-05-01 13:30:00,31.2,74.0,5.86,9.81,10.37,10.37
2026-05-01 13:35:00,31.3,74.3,4.15,9.93,10.5,10.5
2026-05-01 13:40:00,31.3,74.3,5.71,11.75,12.43,12.43
2026-05-01 13:45:00,31.4,74.3,6.21,8.3,8.78,8.78
2026-05-01 13:50:00,31.3,74.8,9.71,9.35,9.89,9.89
2026-05-01 13:55:00,31.3,75.1,8.73,7.33,7.76,7.76
2026-05-01 14:00:00,31.4,74.6,7.88,7.55,7.98,7.98
2026-05-01 14:05:00,31.4,74.9,6.91,7.4,7.82,7.82
2026-05-01 14:10:00,31.5,74.3,8.86,6.87,7.26,7.26
2026-05-01 14:15:00,31.5,73.8,6.63,6.97,7.37,7.37
2026-05-01 14:20:00,31.5,74.2,6.48,5.87,6.21,6.21
2026-05-01 14:25:00,31.4,74.6,6.91,6.85,7.25,7.25
2026-05-01 14:30:00,31.5,73.8,5.66,7.08,7.48,7.48
2026-05-01 14:35:00,31.6,73.0,4.19,7.16,7.57,7.57
2026-05-01 14:40:00,31.6,73.0,4.27,7.33,7.75,7.75
2026-05-01 14:45:00,31.5,72.8,4.23,7.11,7.52,7.52
2026-05-01 14:50:00,31.5,72.6,3.46,6.46,6.83,6.83
2026-05-01 14:55:00,31.6,72.8,3.5,7.43,7.86,7.86
2026-05-01 15:00:00,31.6,73.1,3.76,6.92,7.31,7.31
2026-05-01 15:05:00,31.8,72.7,23.31,16.05,16.98,16.98
2026-05-01 15:10:00,32.0,71.6,10.75,10.91,11.54,11.54
2026-05-01 15:15:00,31.9,72.0,6.74,7.74,8.19,8.19
2026-05-01 15:20:00,31.8,73.0,5.81,6.68,7.06,7.06
2026-05-01 15:25:00,31.7,73.7,4.92,6.64,7.03,7.03
2026-05-01 15:30:00,31.7,73.8,4.65,6.58,6.96,6.96
2026-05-01 15:35:00,31.8,73.3,4.74,7.04,7.45,7.45
2026-05-01 15:40:00,31.6,74.3,5.28,6.41,6.78,6.78
2026-05-01 15:45:00,31.7,74.1,8.8,6.87,7.26,7.26
2026-05-01 15:50:00,31.8,74.4,11.04,7.04,7.44,7.44
2026-05-01 15:55:00,31.8,74.3,10.61,6.7,7.08,7.08
2026-05-01 16:00:00,31.7,74.5,7.3,6.42,6.79,6.79
2026-05-01 16:05:00,32.1,73.1,5.76,6.5,6.87,6.87
2026-05-01 16:10:00,31.8,74.2,4.61,6.15,6.51,6.51
2026-05-01 16:15:00,31.7,74.1,4.74,6.38,6.75,6.75
2026-05-01 16:20:00,31.6,74.5,4.4,7.44,7.87,7.87
2026-05-01 16:25:00,31.6,74.8,3.32,7.26,7.68,7.68
2026-05-01 16:30:00,31.6,74.8,3.95,6.76,7.15,7.15
2026-05-01 16:35:00,31.6,74.3,3.57,6.23,6.59,6.59
2026-05-01 16:40:00,31.8,73.9,4.27,6.11,6.46,6.46
2026-05-01 16:45:00,31.7,73.9,4.03,6.86,7.25,7.25
2026-05-01 16:50:00,31.6,74.4,3.15,6.65,7.03,7.03
2026-05-01 16:55:00,31.5,74.9,3.76,7.1,7.51,7.51
2026-05-01 17:00:00,31.6,74.5,6.8,9.03,9.54,9.54
2026-05-01 17:05:00,31.3,74.2,4.19,9.47,10.01,10.01
2026-05-01 17:10:00,31.3,74.6,3.88,9.06,9.58,9.58
2026-05-01 17:15:00,31.3,75.7,3.95,8.45,8.94,8.94
2026-05-01 17:20:00,31.3,77.8,6.27,9.59,10.14,10.14
2026-05-01 17:25:00,31.1,79.8,4.78,10.23,10.82,10.82
2026-05-01 17:30:00,31.0,79.2,4.53,10.68,11.29,11.29
2026-05-01 17:35:00,31.1,78.5,4.74,9.35,9.89,9.89
2026-05-01 17:40:00,31.0,77.9,3.76,9.17,9.7,9.7
2026-05-01 17:45:00,31.0,77.4,4.19,9.09,9.62,9.62
2026-05-01 17:50:00,31.0,76.9,3.95,9.14,9.66,9.66
2026-05-01 17:55:00,30.9,75.9,3.18,8.84,9.35,9.35
2026-05-01 18:00:00,31.0,75.6,3.15,11.12,11.76,11.76
2026-05-01 18:05:00,31.0,75.8,3.11,9.11,9.64,9.64
2026-05-01 18:10:00,30.9,75.3,3.39,8.89,9.41,9.41
2026-05-01 18:15:00,31.0,75.4,3.5,12.34,13.05,13.05
2026-05-01 18:20:00,31.1,75.3,3.15,10.93,11.56,11.56
2026-05-01 18:25:00,31.1,75.4,3.72,9.68,10.24,10.24
2026-05-01 18:30:00,31.1,75.5,3.54,9.52,10.07,10.07
2026-05-01 18:35:00,31.1,75.9,3.88,10.02,10.6,10.6
2026-05-01 18:40:00,31.1,75.9,3.91,9.78,10.34,10.34
2026-05-01 18:45:00,31.2,75.9,3.99,8.06,8.53,8.53
2026-05-01 18:50:00,31.2,76.2,4.15,8.92,9.44,9.44
2026-05-01 18:55:00,31.2,76.2,3.11,9.79,10.35,10.35
2026-05-01 19:00:00,31.2,76.2,3.61,9.66,10.21,10.21
2026-05-01 19:05:00,31.2,76.3,4.11,9.07,9.59,9.59
2026-05-01 19:10:00,31.2,76.1,3.54,9.23,9.77,9.77
2026-05-01 19:15:00,31.2,76.2,4.03,9.79,10.35,10.35
2026-05-01 19:20:00,31.2,76.1,3.88,9.57,10.12,10.12
2026-05-01 19:25:00,31.2,76.0,4.44,10.89,11.51,11.51
2026-05-01 19:30:00,31.2,75.8,4.23,11.5,12.16,12.16
2026-05-01 19:35:00,31.1,75.9,5.91,10.36,10.96,10.96
2026-05-01 19:40:00,31.2,75.6,4.32,10.77,11.39,11.39
2026-05-01 19:45:00,31.1,75.5,5.86,10.42,11.02,11.02
2026-05-01 19:50:00,31.1,75.5,5.66,10.69,11.3,11.3
2026-05-01 19:55:00,31.0,75.5,4.44,10.92,11.55,11.55
2026-05-01 20:00:00,31.0,75.5,3.88,10.42,11.02,11.02
2026-05-01 20:05:00,31.1,75.6,4.11,10.51,11.12,11.12
2026-05-01 20:10:00,31.0,75.7,3.8,12.17,12.87,12.87
2026-05-01 20:15:00,31.0,75.7,4.96,11.14,11.78,11.78
2026-05-01 20:20:00,31.1,75.8,4.32,11.53,12.2,12.2
2026-05-01 20:25:00,31.0,76.0,4.57,10.88,11.5,11.5
2026-05-01 20:30:00,31.0,76.1,5.62,10.89,11.52,11.52
